,,,,,,,,
,mod 名,カテゴリ1,カテゴリ2,確定,備考,url,列 1,列 2
,Elytra Trims,便利系,,〇,エリトラ装飾,https://www.curseforge.com/minecraft/mc-mods/elytra-trims,,46
,Stylish Effects,便利系,client,〇,エフェクト時間が見やすくなる,https://www.curseforge.com/minecraft/mc-mods/stylish-effects,,91
,└ Puzzles Lib,前提,,〇,,https://www.curseforge.com/minecraft/mc-mods/puzzles-lib,,92
,Enchantment Descriptions,便利系,client,〇,エンチャントの説明,https://www.curseforge.com/minecraft/mc-mods/enchantment-descriptions,,93
,└ Bookshelf,前提,,〇,,https://www.curseforge.com/minecraft/mc-mods/bookshelf,,94
,└ Pricle,前提,,×,,https://www.curseforge.com/minecraft/mc-mods/prickle,,95
,Loot Beams,便利系,client,〇,ドロップアイテム見やすくする,https://www.curseforge.com/minecraft/mc-mods/loot-beams,,96
,Better Advancements,便利系,client,〇,進捗画面改善,https://www.curseforge.com/minecraft/mc-mods/better-advancements,,97
,Untranslated Items,便利系,client,〇,英語のアイテム名表示,https://www.curseforge.com/minecraft/mc-mods/untranslated-items,,98
,Configured,便利系,client,〇,ゲーム内から config 編集,https://www.curseforge.com/minecraft/mc-mods/configured,,99
,Game Menu Mod Option,便利系,client,〇,ゲームメニューから mod 編集,https://www.curseforge.com/minecraft/mc-mods/gamemenumodoption,,100
,└Cupboard,前提,,〇,,https://www.curseforge.com/minecraft/mc-mods/cupboard,,102
,┗  Complementary Reimagined,拡張,client,×,ｵﾇﾇﾒ影,https://www.curseforge.com/minecraft/shaders/complementary-reimagined,,109
,┗  Complementary Unbound,拡張,client,×,ｵﾇﾇﾒ影,https://www.curseforge.com/minecraft/shaders/complementary-unbound,,110
,What Are They Up To,拡張,,〇,何してるかわかるやつ,https://www.curseforge.com/minecraft/mc-mods/what-are-they-up-to,,38
,Skin Layers 3D,拡張,,〇,スキン立体化,https://www.curseforge.com/minecraft/mc-mods/skin-layers-3d,,40
,┗ Architectury API,前提,,〇,,https://www.curseforge.com/minecraft/mc-mods/architectury-api,,42
,└Balm,前提,,〇,,https://www.curseforge.com/minecraft/mc-mods/balm,,45
,└Kotlin for Forge,前提,,〇,,https://www.curseforge.com/minecraft/mc-mods/kotlin-for-forge,,47
,└Cupboard,前提,,〇,,https://www.curseforge.com/minecraft/mc-mods/cupboard,,49
,└Placebo,前提,,〇,,https://www.curseforge.com/minecraft/mc-mods/placebo,,56
,└Placebo,前提,,〇,,https://www.curseforge.com/minecraft/mc-mods/placebo,,58
,Farmer's Delight,農業,,〇,,https://www.curseforge.com/minecraft/mc-mods/farmers-delight,,59
,┗ ,農業,addon,〇,Farmer's Delightの村人追加,https://www.curseforge.com/minecraft/mc-mods/chefs-delight-forge,,60
,┗ ,農業,addon,〇,Farmer's Delightのend料理追加,https://www.curseforge.com/minecraft/mc-mods/ends-delight,,61
,┗ ,農業,addon,〇,Farmer's DelightのNether料理追加,https://www.curseforge.com/minecraft/mc-mods/nethers-delight,,62
,┗ ,農業,addon,〇,"Farmer's Delight addon ""maturi-delight""",https://www.curseforge.com/minecraft/mc-mods/maturi-delight,,63
,┗ ,農業,addon,〇,,https://www.curseforge.com/minecraft/mc-mods/festive-delight,,64
,┗ ,農業,addon,〇,,https://www.curseforge.com/minecraft/mc-mods/miners-delight-plus,,65
,Pam's Harvest,農業,,〇,,https://www.curseforge.com/minecraft/mc-mods/pams-harvestcraft-2-food-extended,,66
,Vinery,農業,,〇,ワイナリー追加,https://www.curseforge.com/minecraft/mc-mods/vinery,,67
,└Kotlin for Forge,前提,,〇,,https://www.curseforge.com/minecraft/mc-mods/kotlin-for-forge,,89
,┗  libIPN,前提,,〇,,https://www.curseforge.com/minecraft/mc-mods/libipn,,90
,Lucent,拡張,client,〇,投げたたいまつが光る,https://www.curseforge.com/minecraft/mc-mods/lucent,,111
,neat,拡張,client,〇,ダメージ表示,https://www.curseforge.com/minecraft/mc-mods/neat,,112
,Sound Phisics Remastered,拡張,client,〇,臨場感のあるサウンド追加,https://www.curseforge.com/minecraft/mc-mods/sound-physics-remastered,,113
,Water Drip Sound,拡張,client,〇,「Drip Sounds」水の滴る音とかが追加される,https://www.curseforge.com/minecraft/mc-mods/waterdripsound,,114
,┗  Cloth Config API,前提,,〇,,https://www.curseforge.com/minecraft/mc-mods/cloth-config,,115
,Ambient Sounds,拡張,client,〇,環境音追加,https://www.curseforge.com/minecraft/mc-mods/ambientsounds,,116
,┗  CreativeCore,前提,,〇,,https://www.curseforge.com/minecraft/mc-mods/creativecore,,117
,Shoulder Surfing Reloaded,拡張,client,△,3 人称視点改善,https://www.curseforge.com/minecraft/mc-mods/shoulder-surfing-reloaded,,118
,In Game Account Switcher,拡張,client,〇,アカウント切り替え楽になる,https://www.curseforge.com/minecraft/mc-mods/in-game-account-switcher,,119
,Controlling,拡張,client,〇,キーバインドの重複とかを探すmod,https://www.curseforge.com/minecraft/mc-mods/controlling,,120
,CameraOverhaul,拡張,,〇,,https://www.curseforge.com/minecraft/mc-mods/cameraoverhaul,,121
,EnhancedVisuals,拡張,,〇,,https://www.curseforge.com/minecraft/mc-mods/enhancedvisuals,,122
,Searchables,前提,,〇,,https://www.curseforge.com/minecraft/mc-mods/searchables,,123
,Falling Tree,一括破壊,,〇,一括破壊系、なんか最近多いけど何使うか pending,https://www.curseforge.com/minecraft/mc-mods/falling-tree,,124
,Dig All,一括破壊,,〇,一括破壊系、なんか最近多いけど何使うか pending,https://www.curseforge.com/minecraft/mc-mods/digall,,125
,IkkatsuHakai,一括破壊,,〇,一括破壊系、なんか最近多いけど何使うか pending,https://www.curseforge.com/minecraft/mc-mods/break-all-of-the-same-block-and-more,,126
,JEI,JEI,,〇,JEI レシピ mod,https://www.curseforge.com/minecraft/mc-mods/jei,,127
,┗ ,JEI,addon,〇,JEI レシピ mod,https://www.curseforge.com/minecraft/mc-mods/just-enough-effect-descriptions-jeed,,128
,┗ ,JEI,addon,〇,JEI レシピ mod,https://www.curseforge.com/minecraft/mc-mods/just-enough-professions-jep,,129
,┗ ,JEI,addon,〇,JEI レシピ mod,https://www.curseforge.com/minecraft/mc-mods/just-enough-resources-jer,,130
,┗ Just Enough Mekanism Multiblocks,JEI,addon,〇,,https://www.curseforge.com/minecraft/mc-mods/just-enough-mekanism-multiblocks,,182
,Jade,JEI,,〇,見たものの情報,https://www.curseforge.com/minecraft/mc-mods/jade,,131
,┗ ,JEI,addon,〇,見たものの情報,https://www.curseforge.com/minecraft/mc-mods/the-one-probe,,132
,┗ ,JEI,addon,〇,addon,https://www.curseforge.com/minecraft/mc-mods/jadecolonies,,133
,┗ ,JEI,addon,〇,addon,https://www.curseforge.com/minecraft/mc-mods/jade-addons,,134
,Better FPS Render Distance,軽量系,client,〇,fps 向上するらしい,https://www.curseforge.com/minecraft/mc-mods/better-fps-render-distance,,101
,Entity Culling,軽量系,client,〇,軽量化,https://www.curseforge.com/minecraft/mc-mods/entityculling,,103
,Embeddium,軽量系,client,〇,軽量化,https://www.curseforge.com/minecraft/mc-mods/embeddium,,104
,Embeddium plus,軽量系,client,〇,軽量化,https://www.curseforge.com/minecraft/modpacks/embeddium-plus,,105
,Rubidium Extra,軽量系,client,〇,軽量化,https://www.curseforge.com/minecraft/mc-mods/rubidium-extra,,106
,Radium Reforged,軽量系,client,〇,競合/クラッシュ注意,https://www.curseforge.com/minecraft/mc-mods/radium-reforged,,107
,Oculus,軽量系,client,〇,競合/クラッシュ注意,https://www.curseforge.com/minecraft/mc-mods/oculus,,108
,Connectivity,軽量系,,〇,チャンクバグとか消えるっぽいやつら1,https://www.curseforge.com/minecraft/mc-mods/connectivity,,48
,Packet Fixer,軽量系,,〇,チャンクバグとか消えるっぽいやつら2,https://www.curseforge.com/minecraft/mc-mods/packet-fixer,,50
,XXL Packets,軽量系,,〇,チャンクバグとか消えるっぽいやつら3,https://www.curseforge.com/minecraft/mc-mods/xxl-packets,,51
,Clumps,軽量系,,〇,ラグ軽減 (経験値集約),https://www.curseforge.com/minecraft/mc-mods/clumps,,52
,FerriteCore,軽量系,,〇,最適化,https://www.curseforge.com/minecraft/mc-mods/ferritecore,,53
,ModernFix,軽量系,,〇,軽量化,https://www.curseforge.com/minecraft/mc-mods/modernfix,,54
,FastWorkbench,軽量系,,〇,軽量化系,https://www.curseforge.com/minecraft/mc-mods/fastworkbench,,55
,FastFurnace,軽量系,,〇,軽量化系,https://www.curseforge.com/minecraft/mc-mods/fastfurnace,,57
,Noisium,軽量系,,〇,,https://www.curseforge.com/minecraft/mc-mods/noisium,,157
,Memory Leak Fix,軽量系,,〇,,https://modrinth.com/mod/memoryleakfix,,158
,Presence Footsteps (Forge),拡張,,〇,足音いい感じにする,https://www.curseforge.com/minecraft/mc-mods/presence-footsteps-forge,,147
,Iron Chests,拡張,,〇,鉄のチェストとかでけぇチェスト作れる,https://www.curseforge.com/minecraft/mc-mods/iron-chests,,148
,Easy Villagers,村,,〇,村人が持ち運び可能,https://www.curseforge.com/minecraft/mc-mods/easy-villagers,,149
,Curious Lanterns,拡張,,〇,ランタンインベントリ追加,https://www.curseforge.com/minecraft/mc-mods/curious-lanterns,,150
,┗ Radiant Gear,前提,,〇,,https://www.curseforge.com/minecraft/mc-mods/radiant-gear,,151
,┗ Curious API,前提,,〇,,https://www.curseforge.com/minecraft/mc-mods/curios,,152
,Explosion Overhaul: A new level of destruction,拡張,,△,爆発強化,https://www.curseforge.com/minecraft/mc-mods/explosion-overhaul-a-new-level-of-destruction,,153
,Distant Horizons: A Level of Detail mod,拡張,,〇,視野超拡張,https://www.curseforge.com/minecraft/mc-mods/distant-horizons,,154
,┗ ,拡張,addon,×,対応 shader,https://gist.github.com/Steveplays28/52db568f297ded527da56dbe6deeec0e,,155
,PlayerAnimator,拡張,client,〇,,https://www.curseforge.com/minecraft/mc-mods/playeranimator,,156
,Ping Wheel,拡張,,〇,,https://www.curseforge.com/minecraft/mc-mods/ping-wheel,,162
,Leawind's Third Person,拡張,client,〇,,https://www.curseforge.com/minecraft/mc-mods/leawind-third-person,,163
,┗ TaCZ: Leawind's Third Person Compat,拡張,client,〇,,https://www.curseforge.com/minecraft/mc-mods/tacz-leawinds-third-person-compat,,164
,Auto Third Person,拡張,client,〇,,https://www.curseforge.com/minecraft/mc-mods/auto-third-person,,165
,ナレーターキーバインド消えろks,拡張,client,〇,,https://www.curseforge.com/minecraft/mc-mods/rebindnarrator,,169
,PlayerRevive,拡張,,〇,,https://www.curseforge.com/minecraft/mc-mods/playerrevive,,170
,Cooking for Blockheads,拡張,,〇,,https://www.curseforge.com/minecraft/mc-mods/cooking-for-blockheads,,174
,Apotheosis,拡張,,〇,,https://www.curseforge.com/minecraft/mc-mods/apotheosis,,196
,┗ ,拡張,addon,〇,,https://www.curseforge.com/minecraft/mc-mods/apotheosis-modern-ragnarok,,197
,Lootr,拡張,,☆,,https://www.curseforge.com/minecraft/mc-mods/lootr,,217
,YesSteveModels,拡張,,〇,,https://modrinth.com/mod/yes-steve-model,,
